class,size
com.dexvis.dex.task.vis.d3.PartitionLayout,2279
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure1,2656
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure2,2627
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure3$_closure8,2053
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure3$_closure9,2998
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure3,3312
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure4$_closure10,2683
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure4,2840
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure5,2185
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure6$_closure11,4709
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure6,3625
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure7$_closure12,3030
com.dexvis.dex.task.vis.d3.Sankey$_execute_closure7,2978
com.dexvis.dex.task.vis.d3.Sankey,19848
com.dexvis.dex.task.vis.d3.StackedRadar,2261
com.dexvis.dex.task.vis.d3.SteamGraph,2248
com.dexvis.dex.task.vis.d3.TensionMap,2249
com.dexvis.dex.task.vis.dexcharts.BarChart,2274
com.dexvis.dex.task.vis.dexcharts.C3Player,2274
com.dexvis.dex.task.vis.dexcharts.Chord,3975
com.dexvis.dex.task.vis.dexcharts.ChordMultiples,2310
com.dexvis.dex.task.vis.dexcharts.ClusteredForce,2310
com.dexvis.dex.task.vis.dexcharts.Dendrogram,3705
com.dexvis.dex.task.vis.dexcharts.DendrogramMultiples,2340
com.dexvis.dex.task.vis.dexcharts.DygraphLineChart,2304
com.dexvis.dex.task.vis.dexcharts.ForceDiagram,2298
com.dexvis.dex.task.vis.dexcharts.MotionBarChart,3990
com.dexvis.dex.task.vis.dexcharts.MotionChart,4093
com.dexvis.dex.task.vis.dexcharts.MotionCircleChart,4008
com.dexvis.dex.task.vis.dexcharts.MotionLineChart,3996
com.dexvis.dex.task.vis.dexcharts.Network,2744
com.dexvis.dex.task.vis.dexcharts.OrbitalLayout,3120
com.dexvis.dex.task.vis.dexcharts.ParCoor2Chord,2309
com.dexvis.dex.task.vis.dexcharts.ParCoor2Dendrogram,2339
com.dexvis.dex.task.vis.dexcharts.ParCoor2Table,2309
com.dexvis.dex.task.vis.dexcharts.ParallelCoordinates,3912
com.dexvis.dex.task.vis.dexcharts.RadarChart,3037
com.dexvis.dex.task.vis.dexcharts.RadialTree,2766
com.dexvis.dex.task.vis.dexcharts.Sankey,2276
com.dexvis.dex.task.vis.dexcharts.SankeyParticles,2796
com.dexvis.dex.task.vis.dexcharts.ScatterPlot,2291
com.dexvis.dex.task.vis.dexcharts.Sql2ParCoord,2298
com.dexvis.dex.task.vis.dexcharts.Sql2Table,2282
com.dexvis.dex.task.vis.dexcharts.SqlQuery,2274
com.dexvis.dex.task.vis.dexcharts.Sunburst,2753
com.dexvis.dex.task.vis.dexcharts.TitledTreemap,2305
com.dexvis.dex.task.vis.dexcharts.Treemap,2267
com.dexvis.dex.task.vis.dexcharts.dygraphs.LineChart,2313
