county,technology,columns,category,ballots
Pasco,Votomatic,1,Browne,413
Pasco,Votomatic,1,Nader,3393
Pasco,Votomatic,1,Harris,19
Pasco,Votomatic,1,Hagelin,83
Pasco,Votomatic,1,Buchanan,570
Pasco,Votomatic,1,McReynolds,14
Pasco,Votomatic,1,Phillips,16
Pasco,Votomatic,1,Moorehead,77
Pasco,Votomatic,1,Chote,0
Pasco,Votomatic,1,McCarthy,0
Pinellas,Votomatic,1,under,4240
Pinellas,Votomatic,1,over,4258
Pinellas,Votomatic,1,Bush,184825
Pinellas,Votomatic,1,Gore,200630
Pinellas,Votomatic,1,Browne,1230
Pinellas,Votomatic,1,Nader,10022
Pinellas,Votomatic,1,Harris,41
Pinellas,Votomatic,1,Hagelin,442
Pinellas,Votomatic,1,Buchanan,1013
Pinellas,Votomatic,1,McReynolds,27
Pinellas,Votomatic,1,Phillips,72
Pinellas,Votomatic,1,Moorehead,170
Pinellas,Votomatic,1,Chote,0
Pinellas,Votomatic,1,McCarthy,0
Polk,Optical,1,under,219
Polk,Optical,1,over,668
Polk,Optical,1,Bush,90295
Polk,Optical,1,Gore,75200
Polk,Optical,1,Browne,366
Polk,Optical,1,Nader,2059
Polk,Optical,1,Harris,8
Polk,Optical,1,Hagelin,59
Polk,Optical,1,Buchanan,533
Polk,Optical,1,McReynolds,5
Polk,Optical,1,Phillips,46
Polk,Optical,1,Moorehead,36
Polk,Optical,1,Chote,0
Polk,Optical,1,McCarthy,0
Putnam,Optical,1,under,82
Putnam,Optical,1,over,79
Putnam,Optical,1,Bush,13447
Putnam,Optical,1,Gore,12102
Putnam,Optical,1,Browne,114
Putnam,Optical,1,Nader,377
Putnam,Optical,1,Harris,2
Putnam,Optical,1,Hagelin,7
Putnam,Optical,1,Buchanan,148
Putnam,Optical,1,McReynolds,3
Putnam,Optical,1,Phillips,10
